Title,description,publishtime,url,provider
"Bhopal: Customers flee as masked men armed with swords, bats vandalise cafe | Watch","A video of the incident has gone viral, in which the attackers can be seen causing extensive damage to Magic Spot Cafe, located on Hoshangabad Road in Bhopal’s Misrod area, as customers scramble to flee.","November 19, 2025 05:06 PM IST",https://www.moneycontrol.com/city/bhopal-customers-flee-as-masked-men-armed-with-swords-bats-vandalise-cafe-article-13686181.html,Moneycontrol
Delhi pollution: SC asks CAQM to consider directing NCR schools to postpone sports competitions,A bench comprising Chief Justice B R Gavai and Justice K Vinod Chandran said the issue of severe air pollution crisis in Delhi-National Capital Region needed a pro-active approach and the top court should hear the case to monitor the development on a monthly basis.,"November 19, 2025 03:37 PM IST",https://www.moneycontrol.com/city/delhi-pollution-sc-asks-caqm-to-consider-directing-ncr-schools-to-postpone-sports-competitions-article-13685752.html,Moneycontrol
Viral video shows dancer beaten at Haryana pre-wedding after objecting to guest's advances,"The attack occurred on November 16 in Haryana's Pachgaon village during a performance. According to the footage, a man, who is seen holding currency notes, brought his hand uncomfortably close to one of the performers.","November 19, 2025 03:30 PM IST",https://www.moneycontrol.com/city/viral-video-shows-dancer-beaten-at-haryana-pre-wedding-after-objecting-to-guest-s-advances-article-13685436.html,Moneycontrol
"WATCH: Delhi man kisses girlfriend from moving car roof in dangerous stunt, police take action  ","The video, shot from a nearby vehicle, shows the individual clambering onto the roof of a white hatchback as it navigates a busy road.","November 19, 2025 03:30 PM IST",https://www.moneycontrol.com/city/watch-delhi-man-kisses-girlfriend-from-moving-car-roof-in-dangerous-stunt-police-take-action-article-13685239.html,Moneycontrol
"Ex-armyman shoots self after killing wife, mother-in-law in Punjab’s Gurdaspur",Gurdaspur senior superintendent of police (SSP) Aditya rushed to the local Improvement Trust Colony No. 7 on the outskirts of the town with nearly 200 police personnel on being informed about the murders and the threat by Gurpreet Singh to go on a killing spree.,"November 19, 2025 02:45 PM IST",https://www.moneycontrol.com/city/ex-armyman-shoots-self-after-killing-wife-mother-in-law-in-punjab-s-gurdaspur-article-13685575.html,Moneycontrol
"Ricin terror plot accused attacked in Sabarmati jail; inmates punched him to ‘flaunt patriotism’, say police",The incident happened less than 12 hours after prime accused in the alleged Ricin terror plot and two other suspects were moved to Ahmedabad’s Sabarmati Central Jail under judicial custody.,"November 19, 2025 02:27 PM IST",https://www.moneycontrol.com/city/ricin-terror-plot-accused-attacked-in-sabarmati-jail-inmates-punched-him-to-flaunt-patriotism-say-police-article-13685538.html,Moneycontrol
Scams shake TTD and Tirupati temple: How Andhra’s holiest shrine is battling frauds - four key cases,"One of the biggest controversies in recent times at the Tirupati temple is the adulterated ghee scam. This involves the supply of fake and impure ghee, used in making the famous Tirupati Laddu prasadam, which is offered to devotees as holy food.","November 19, 2025 02:22 PM IST",https://www.moneycontrol.com/city/scams-shake-ttd-and-tirupati-temple-how-andhras-holiest-shrine-is-battling-frauds-four-key-cases-article-13685508.html,Moneycontrol
"Mumbai-Ahmedabad bullet train: Civil works on Surat-Bilimora section fully done, 2027 launch on track","The 508-km Mumbai-Ahmedabad High-Speed Rail (MAHSR) corridor will connect Maharashtra, Gujarat and the Union Territory of Dadra & Nagar Haveli once completed.","November 19, 2025 02:20 PM IST",https://www.moneycontrol.com/city/mumbai-ahmedabad-bullet-train-civil-works-on-surat-bilimora-section-fully-done-2027-launch-on-track-article-13685518.html,Moneycontrol
"Sabarimala rush forces new regulations: Daily entry capped at 1 lakh, spot bookings limited to 20k","The decision came after visuals showed devotees tightly packed near the sacred 18 steps, long delays on the Pamba–Sannidhanam route, and complaints about lack of drinking water in the queues.","November 19, 2025 02:08 PM IST",https://www.moneycontrol.com/city/sabarimala-rush-forces-new-regulations-daily-entry-capped-at-1-lakh-spot-bookings-limited-to-20k-article-13685448.html,Moneycontrol
'Smoke from Punjab says Connaught Place is my address. What a joke!': Bhagwant Mann on Delhi pollution,The Punjab CM claimed that the state hadn't even started harvesting paddy when Delhi's AQI soared to 400.,"November 19, 2025 01:48 PM IST",https://www.moneycontrol.com/city/smoke-from-punjab-says-connaught-place-is-my-address-what-a-joke-bhagwant-mann-on-delhi-pollution-article-13685357.html,Moneycontrol
Al-Falah University collected Rs 415 cr by misleading students and parents: ED,Al Falah University came under scrutiny after three doctors associated with it were identified as suspects in the November 10 Red Fort blast.,"November 19, 2025 01:03 PM IST",https://www.moneycontrol.com/city/al-falah-university-collected-rs-415-cr-by-misleading-students-and-parents-ed-article-13685145.html,Moneycontrol
Delhi's Khan Market ranks as 24th most expensive high-street globally: report,"Khan Market was 23rd most expensive retail location globally in last year's ranking. Nevertheless, Khan Market remains India's most expensive high street.","November 19, 2025 12:29 PM IST",https://www.moneycontrol.com/city/delhi-s-khan-market-24th-most-expensive-high-street-location-globally-rank-slips-one-notch-c-w-article-13684991.html,Moneycontrol
"Faridkot coldest in Punjab at 6.5 deg Celsius, Narnaul in Haryana at 6.8","According to the Met department, on Wednesday, Bathinda experienced a cold night at 7.8 degrees Celsius, while Gurdaspur recorded a minimum temperature of 8 degrees Celsius.","November 19, 2025 12:14 PM IST",https://www.moneycontrol.com/city/faridkot-coldest-in-punjab-at-6-5-deg-celsius-narnaul-in-haryana-at-6-8-article-13684961.html,Moneycontrol
From Delhi's deep chill to Mumbai's cool spell: Mapping India's unexpected November cold wave,"The IMD has confirmed that minimum temperatures have remained below normal nearly every day this month, a pattern expected to persist, setting new temperature records.","November 19, 2025 12:00 PM IST",https://www.moneycontrol.com/city/from-delhi-s-deep-chill-to-mumbai-s-cool-spell-mapping-india-s-unexpected-november-cold-wave-article-13684865.html,Moneycontrol
Mumbai weather update: Cool morning turns hazy as city's AQI reaches unhealthy 275,"Mumbai weather update: The India Meteorological Department (IMD) reported clear skies and a moderate daytime high of around 33 degrees Celsius, with the pleasant conditions expected to persist overnight.","November 19, 2025 11:51 AM IST",https://www.moneycontrol.com/city/mumbai-weather-update-cool-morning-turns-hazy-as-city-s-aqi-reaches-unhealthy-275-article-13684875.html,Moneycontrol
"Several Al-Falah University faculty members, locals vanish after massive terror-links crackdown","The core of the new probe, as initiated by the DGP, will focus on how a cell of radicalised doctors was able to operate from within the university grounds, raising serious questions about campus security and oversight.","November 19, 2025 10:51 AM IST",https://www.moneycontrol.com/city/several-al-falah-university-faculty-members-locals-vanish-after-massive-terror-links-crackdown-article-13684461.html,Moneycontrol
"'Drishyam'-style murder: Missing Bengaluru techie found buried inside house in Andhra; cousin, aide held","The body of 34-year-old software engineer Shrinath K was exhumed from a residence in Kuppam, in Andhra Pradesh’s Chittoor district on November 16. According to police, the victim, an Andhra native, was murdered by his cousin Prabhakar, 39.","November 19, 2025 10:49 AM IST",https://www.moneycontrol.com/city/drishyam-style-murder-missing-bengaluru-techie-found-buried-inside-house-in-andhra-cousin-aide-held-article-13684567.html,Moneycontrol
"Karnataka bets big: A second airport, AI city and Rs 1.5 lakh crore overhaul for Bengaluru's future","The revelations came at the inauguration of the Bengaluru Tech Summit 2025, where Chief Minister Siddaramaiah launched the Karnataka Space Technology, IT and Startup Policy 2025-30.","November 19, 2025 10:18 AM IST",https://www.moneycontrol.com/city/karnataka-bets-big-a-second-airport-ai-city-and-rs-1-5-lakh-crore-overhaul-for-bengaluru-s-future-article-13684460.html,Moneycontrol
Delhi: Class 10 student dies after jumping from Rajendra Nagar Metro Station,"The incident was reported around 3 pm, following which a team reached the spot and found the boy critically injured. He was immediately taken to a nearby hospital in Delhi, where doctors declared him dead.","November 19, 2025 09:44 AM IST",https://www.moneycontrol.com/city/delhi-class-10-student-dies-after-jumping-from-rajendra-nagar-metro-station-article-13684395.html,Moneycontrol
"Delhi riots were 'choreographed' conspiracy for ‘regime change’, Umar Khalid among orchestrators: Police",The sensational claims were made as the police vigorously defended the denial of bail under the stringent Unlawful Activities (Prevention) Act (UAPA) to six individuals.,"November 19, 2025 09:28 AM IST",https://www.moneycontrol.com/city/delhi-riots-were-choreographed-conspiracy-for-regime-change-umar-khalid-among-orchestrators-police-article-13684340.html,Moneycontrol
Delhi air worsens again as AQI shoots up to 386: 16 stations hit ‘severe’ mark,"Delhi AQI: Out of 39 monitoring stations in Delhi-NCR, 16 locations recorded AQI levels above 400, categorised as “severe.” Wazirpur emerged as the most polluted spot with an AQI of 446, followed by Bawana at 444 and Jahangirpuri at 442.","November 19, 2025 08:57 AM IST",https://www.moneycontrol.com/city/delhi-air-worsens-again-as-aqi-shoots-up-to-386-16-stations-hit-severe-mark-article-13684270.html,Moneycontrol
Sabarimala pilgrims alert: Karnataka issues urgent advisory over deadly 'brain-eating' amoeba,The government has requested all pilgrims to follow the guidelines strictly to ensure a safe Sabarimala pilgrimage season.,"November 19, 2025 08:44 AM IST",https://www.moneycontrol.com/city/sabarimala-pilgrims-alert-karnataka-issues-urgent-advisory-over-deadly-brain-eating-amoeba-article-13684241.html,Moneycontrol
Mumbai Airport to remain shut for 6 hours on Nov 20; check timings,"Mumbai’s Chhatrapati Shivaji Maharaj International Airport issued a passenger advisory on Tuesday stating that the scheduled closure is crucial for maintaining safety, operational reliability and compliance with international aviation standards.","November 19, 2025 08:36 AM IST",https://www.moneycontrol.com/city/mumbai-airport-to-remain-shut-for-6-hours-on-nov-20-check-timings-article-13684204.html,Moneycontrol
"'Brainwashed' bomber Dr Umar Mohammad parroted ISI martyrdom line, say experts",Experts noted that Umar Nabi avoided staring directly into the camera and spoke in a manner that pretended to be thoughtful.  ,"November 19, 2025 08:13 AM IST",https://www.moneycontrol.com/city/brainwashed-bomber-dr-umar-mohammad-parrots-isi-martyrdom-line-say-experts-article-13684152.html,Moneycontrol
"CNG supply to Mumbai, neighbouring areas restored after two days of disruption",The Mahanagar Gas Limited (MGL) said the disruption began on Sunday after third-party damage to GAIL's main supply pipeline inside the Rashtriya Chemicals and Fertilisers (RCF) compound hit gas flow to MGL's City Gate Station at Wadala.,"November 19, 2025 08:13 AM IST",https://www.moneycontrol.com/city/cng-supply-to-mumbai-neighbouring-areas-restored-after-two-days-of-disruption-article-13684154.html,Moneycontrol
Delhi Police books 250 people in verification drive after Red Fort blast,"Red Fort blast triggered by a suicide bomber, which followed the busting of a white-collar terror module spanning Jammu and Kashmir, Haryana and Uttar Pradesh, claimed 15 lives and injured several others.","November 19, 2025 08:05 AM IST",https://www.moneycontrol.com/city/delhi-police-books-250-people-in-verification-drive-after-red-fort-blast-article-13684130.html,Moneycontrol
Delhi blast: Rented i10 traced as 5th vehicle in terror plot; cops say it ferried explosives across NCR,"Meanwhile, a photograph circulated on social media on Monday showing Dr Shahid and Dr Muzammil standing next to a Maruti Brezza, the same vehicle seized by the police and bought by Shahid on September 25. Officers confirmed the picture is real.","November 19, 2025 07:23 AM IST",https://www.moneycontrol.com/city/delhi-blast-rented-i10-traced-as-5th-vehicle-in-terror-plot-cops-say-it-ferried-explosives-across-ncr-article-13684049.html,Moneycontrol
Karnataka govt spending over Rs 1 lakh cr to improve infrastructure in Bengaluru city: Shivakumar,"Karnataka Deputy Chief Minister D K Shivakumar, who is also the Minister incharge of Bengaluru Development, was speaking at the inaugural of the 28th edition of Bengaluru Tech Summit 2025.","November 18, 2025 04:10 PM IST",https://www.moneycontrol.com/city/karnataka-govt-spending-over-rs-1-lakh-cr-to-improve-infrastructure-in-bengaluru-city-shivakumar-article-13683502.html,Moneycontrol
Red Fort blast: Video glorifying suicide attack found in suicide bomber's phone,"The critical evidence was unearthed after the detention and subsequent interrogation of Zahoor Illahi, brother of Umar who was driving the explosive-laden car that blasted outside Red Fort on November 10 killing 15 people, officials said on Tuesday.","November 18, 2025 03:59 PM IST",https://www.moneycontrol.com/city/red-fort-blast-video-glorifying-suicide-attack-found-in-suicide-bomber-s-phone-article-13683484.html,Moneycontrol
"GRAP-IV not invoked in Delhi-NCR, clarifies CAQM - 'misleading information'","In a statement, the Commission for Air Quality Management (CAQM) said some news channels and digital platforms were circulating “misleading information” that the highest tier of emergency restrictions had been imposed in Delhi-NCR.","November 18, 2025 03:33 PM IST",https://www.moneycontrol.com/city/grap-iv-not-invoked-in-delhi-ncr-clarifies-caqm-misleading-information-article-13683401.html,Moneycontrol
Bengaluru–Tumakuru Metro: Tejasvi Surya calls project 'nightmare' as BMRCL floats tender for DPR,"In a pointed post on X, BJP MP Tejasvi Surya argued that Bengaluru–Tumakuru Metro project’s enormous cost and relatively low operating speed make it unsuitable for long-distance travel.","November 18, 2025 03:28 PM IST",https://www.moneycontrol.com/city/bengaluru-tumakuru-metro-tejasvi-surya-calls-project-nightmare-as-bmrcl-floats-tender-for-dpr-article-13683235.html,Moneycontrol
"Temperatures dip 3-4 degrees Celsius below normal across Rajasthan, Sikar's Fatehpur coldest","Many parts of the state recorded minimum temperatures 3-4 degrees Celsius below normal, the Met centre said. The weather remained dry across the state during the 24 hours ending Tuesday morning.","November 18, 2025 02:43 PM IST",https://www.moneycontrol.com/city/temperatures-dip-3-4-degrees-celsius-below-normal-across-rajasthan-sikar-s-fatehpur-coldest-article-13683107.html,Moneycontrol
"In pics: Long queues, empty roads as CNG crisis paralyses Mumbai","Mumbai CNG crisis: While domestic piped natural gas supplies have been prioritised and remain unaffected, the commercial supply of Compressed Natural Gas (CNG) has been severely hit.","November 18, 2025 02:27 PM IST",https://www.moneycontrol.com/city/in-pics-long-queues-empty-roads-as-cng-crisis-paralyses-mumbai-photo-gallery-13683061.html,Moneycontrol
Bengaluru Metro gets bomb threat: Man warns of blast ‘if ex-wife tortured’; claims to be ‘terrorist-like person’,"According to officials, the email claimed that Bengaluru Metro staff were mentally harassing the sender’s former wife, identified as Padmini.","November 18, 2025 01:59 PM IST",https://www.moneycontrol.com/city/bengaluru-metro-gets-bomb-threat-man-warns-of-blast-if-ex-wife-tortured-claims-to-be-terrorist-like-person-article-13683009.html,Moneycontrol
Maharashtra: 899 farmers committed suicide in Marathwada during January-October,Minister of State for Agriculture Ashish Jaiswal said Maharashtra government is seriously addressing the issue and has increased the spending on dedicated schemes and incentives to Rs 1 lakh crore.,"November 18, 2025 01:46 PM IST",https://www.moneycontrol.com/city/maharashtra-899-farmers-committed-suicide-in-marathwada-during-january-october-article-13682973.html,Moneycontrol
Delhi blast probe: Families flee Nuh amid frequent police visits to room rented by Dr Umar,"Delhi blast probe: The prime accused, Dr Mohammad Umar Un Nabi, the suicide bomber in the November 10 Red Fort blast, stayed in a rented room in Haryana's Nuh for about ten days before the explosion.","November 18, 2025 01:40 PM IST",https://www.moneycontrol.com/city/delhi-blast-probe-families-flee-nuh-amid-frequent-police-visits-to-room-rented-by-dr-umar-article-13682917.html,Moneycontrol
Mumbai CNG crisis: Can city's crippled transport system recover by Tuesday?,"Mumbai CNG crisis: The crisis was caused by a complete stoppage of supply at the CGS Wadala facility, which feeds directly into MGL's pipeline network.","November 18, 2025 01:31 PM IST",https://www.moneycontrol.com/city/mumbai-cng-crisis-can-city-s-crippled-transport-system-recover-by-tuesday-article-13682927.html,Moneycontrol
Navi Mumbai International Airport to begin commercial ops from December 25,"The inauguration, by Prime Minister Narendra Modi on October 8, set the stage for a carefully phased operational rollout, prioritising passenger safety, reliability, and comfort from day one at Navi Mumbai International Airport.","November 18, 2025 12:50 PM IST",https://www.moneycontrol.com/city/navi-mumbai-international-airport-to-begin-commercial-ops-from-december-25-article-13682821.html,Moneycontrol
Chennai braces for unsettled weather by weekend; yellow alert issued in multiple Tamil Nadu districts,Tamil Nadu weather: According to the IMD’s forecast light to moderate rain is expected on Tuesday at many places in Tamil Nadu as well as the Puducherry and Karaikal regions. Thunderstorms accompanied by lightning may also occur in parts of the state.,"November 18, 2025 12:27 PM IST",https://www.moneycontrol.com/city/chennai-braces-for-unsettled-weather-by-weekend-yellow-alert-issued-in-multiple-tamil-nadu-districts-article-13682710.html,Moneycontrol
Delhi Red Fort blast case: ED targets 25 Al Falah University-linked premises in shell company crackdown,"A detailed examination has allegedly revealed multiple red flags consistent with shell-company operations. These include a lack of physical presence at declared business addresses, common contact details across various companies, an absence of statutory filings like EPFO and ESIC, overlapping directors and minimal salary disbursal through banking channels.  ","November 18, 2025 12:25 PM IST",https://www.moneycontrol.com/city/delhi-red-fort-blast-case-ed-targets-25-al-falah-university-linked-premises-in-shell-company-crackdown-article-13682728.html,Moneycontrol
Maharashtra weather: Below-normal temperatures in Mumbai as cold wave grips state’s interior,Authorities are advising citizens in the affected districts to wear warm clothing and to take special care of vulnerable community members as the severe cold conditions are likely to persist.,"November 18, 2025 12:18 PM IST",https://www.moneycontrol.com/city/maharashtra-weather-below-normal-temperatures-in-mumbai-as-cold-wave-grips-state-s-interior-article-13682716.html,Moneycontrol
"Newborn, doctor among 4 killed as ambulance catches fire in Gujarat","The blaze erupted in the ambulance on Modasa-Dhansura road at around 1 am when the one-day-old boy, who was sick after birth, was being taken to a private hospital in Ahmedabad from a Modasa-based hospital for further treatment, police inspector DB Vala said.","November 18, 2025 12:10 PM IST",https://www.moneycontrol.com/city/newborn-doctor-among-4-killed-as-ambulance-catches-fire-in-gujarat-article-13682690.html,Moneycontrol
Mumbai CNG issue strands commuters as pipeline rupture halts transport,"The crisis began on Sunday when a key pipeline operated by GAIL, located within the RCF premises in Trombay, was damaged.","November 18, 2025 11:11 AM IST",https://www.moneycontrol.com/city/mumbai-paralysed-cng-crisis-strands-commuters-as-pipeline-rupture-halts-transport-article-13682423.html,Moneycontrol
Hyderabad’s iconic biryani chains under scanner: I-T raids 30 locations over suspected tax evasion,"Pista House, one of Hyderabad’s most famous food brands, was also a key focus of the operation.","November 18, 2025 10:48 AM IST",https://www.moneycontrol.com/city/hyderabad-s-iconic-biryani-chains-under-scanner-i-t-raids-30-locations-over-suspected-tax-evasion-article-13682345.html,Moneycontrol
Hyderabad to see week-long chill; IMD issues cold wave alert for 5 Telangana districts,Meteorological analysis from the report indicated that minimum temperatures at a few locations remained significantly below normal.,"November 18, 2025 10:21 AM IST",https://www.moneycontrol.com/city/hyderabad-to-see-week-long-chill-imd-issues-cold-wave-alert-for-5-telangana-districts-article-13682197.html,Moneycontrol
Watch: Knife-wielding man charges at cab drivers at Bengaluru airport; swift CISF action foils attack,"The incident took place near the Terminal 1 arrival area. According to police, eyewitness accounts and CCTV footage showed Ahmed running towards the two taxi drivers while holding a long knife.","November 18, 2025 09:27 AM IST",https://www.moneycontrol.com/city/watch-knife-wielding-man-charges-at-cab-drivers-at-bengaluru-airport-swift-cisf-action-foils-attack-article-13682043.html,Moneycontrol
"Rabies scare grips Gorakhpur village after dog bite kills cow, 'contaminates' temple prasad","For four days, more than a hundred residents of Ramdeeh village have been flocking to a local health centre in a state of alarm.","November 18, 2025 09:10 AM IST",https://www.moneycontrol.com/city/rabies-scare-grips-up-village-after-dog-bite-kills-cow-contaminates-prasad-article-13681975.html,Moneycontrol
"Delhi AQI: Capital’s air quality remains 'very poor’, Ghaziabad becomes India's most polluted city  ","According to data from the Central Pollution Control Board's (CPCB) Sameer app, Delhi’s overall Air Quality Index (AQI) was recorded at 341 at 6 am.","November 18, 2025 08:42 AM IST",https://www.moneycontrol.com/city/delhi-aqi-capital-s-air-quality-remains-very-poor-ghaziabad-becomes-india-s-most-polluted-city-article-13681892.html,Moneycontrol
"Delhi blast probe: UP ATS examines Dr Shaheen, Dr Parvez’s Saudi, Maldives, Turkey links",The international itineraries of Dr Shaheen Shahid and Dr Parvez are being treated as a critical lead in unravelling the radical network they are alleged to be part of.,"November 18, 2025 08:23 AM IST",https://www.moneycontrol.com/city/delhi-blast-probe-up-ats-examines-dr-shaheen-dr-parvez-s-saudi-maldives-turkey-links-article-13681831.html,Moneycontrol
Nainital’s Haldwani tense after mob vandalises shops over rumour of animal remains near temple,"According to the police, a crowd gathered in Banbhulpura on Sunday night after word spread on social media about the alleged discovery of animal remains.","November 18, 2025 07:57 AM IST",https://www.moneycontrol.com/city/nainital-s-haldwani-tense-after-mob-vandalises-shops-over-rumour-of-animal-remains-near-temple-article-13681774.html,Moneycontrol
