title,description,publishtime,url,provider
"Trapped in ‘digital arrest’, Bengaluru techie sells flat and plots to pay fake cops","Bengaluru-based software professional was forced to sell her flat and two residential plots to meet their demands. As per the report, she was working with a software company and living with her 10-year-old son in a flat in Vignan Nagar.","December 16, 2025 04:28 PM IST",https://www.moneycontrol.com/city/trapped-in-digital-arrest-bengaluru-techie-sells-flat-and-plots-to-pay-fake-cops-article-13728266.html,Moneycontrol
Mumbai to get ‘biggest central park in India’s history’ at Mahalaxmi Racecourse – all details,"The proposed project will create a 295-acre green zone that will combine open landscapes, cultural spaces and a large underground sports complex, while keeping the historic racing track and stables intact.","December 16, 2025 04:13 PM IST",https://www.moneycontrol.com/city/mumbai-to-get-biggest-central-park-in-india-s-history-at-mahalaxmi-racecourse-all-details-article-13728223.html,Moneycontrol
‘I installed GPS tracker’: Punjab man breaks down as he catches wife cheating for second time | Video,"The husband, Ravi Gulati, of Amritsar, Punjab, said back in 2018, he had had found his wife with someone at a hotel but forgave her for his children's sake.","December 16, 2025 03:51 PM IST",https://www.moneycontrol.com/city/i-installed-gps-tracker-punjab-man-breaks-down-as-he-catches-wife-cheating-for-second-time-video-article-13728117.html,Moneycontrol
"No valid PUC, no fuel from Thursday: Delhi tightens pollution curbs as air quality worsens",The move follows the Air Quality Index (AQI) staying in the “severe” category for three straight days before improving slightly to “very poor” on Tuesday.,"December 16, 2025 03:34 PM IST",https://www.moneycontrol.com/city/no-valid-puc-no-fuel-from-thursday-delhi-tightens-rules-as-air-quality-worsens-article-13728138.html,Moneycontrol
Bengaluru weather: City sees coldest December nights in a decade as chill grips Karnataka,"The harsh conditions are not confined to the capital. As reported by meteorological authorities, a severe cold wave has tightened its grip on several northern districts. 

","December 16, 2025 02:59 PM IST",https://www.moneycontrol.com/city/bengaluru-weather-city-sees-coldest-december-nights-in-a-decade-as-chill-grips-karnataka-article-13728015.html,Moneycontrol
Navi Mumbai airport expansion: CIDCO plans 3rd runway to meet future air traffic growth,,"December 16, 2025 02:54 PM IST",https://www.moneycontrol.com/city/navi-mumbai-airport-expansion-cidco-plans-3rd-runway-to-meet-future-air-traffic-growth-article-13728003.html,Moneycontrol
Colder nights return to Kashmir as mercury dips below freezing point,"Srinagar, the summer capital of Jammu and Kashmir, recorded a low of minus 1.8 degrees Celsius, nearly four degrees down from the Monday night's 1.9 degrees Celsius.","December 16, 2025 02:49 PM IST",https://www.moneycontrol.com/city/colder-nights-return-to-kashmir-as-mercury-dips-below-freezing-point-article-13727986.html,Moneycontrol
China ready to help India with 'step-by-step guide' to beat air pollution - 'Stay tuned for shared journey',"Although the challenge remains complex, China’s consistent policies over the past decade have led to clear improvements in air quality.","December 16, 2025 01:29 PM IST",https://www.moneycontrol.com/city/china-ready-to-help-india-with-step-by-step-guide-to-beat-air-pollution-stay-tuned-for-shared-journey-article-13727737.html,Moneycontrol
23-year-old woman found dead at Delhi home; suicide suspected,"The deceased, identified as Anjali Singh, was found motionless in her house in Delhi's Prem Nagar area on Monday by her sister and her neighbour.","December 16, 2025 12:35 PM IST",https://www.moneycontrol.com/city/23-year-old-woman-found-dead-at-delhi-home-suicide-suspected-article-13727651.html,Moneycontrol
Will eagerly-awaited Delhi-Dehradun Expressway finally open in January 2026?,"Delhi-Dehradun Expressway opening date: The project, estimated to cost Rs 11,868.6 crore, was initially scheduled for completion by December 2024.","December 16, 2025 12:35 PM IST",https://www.moneycontrol.com/city/from-6-5-hours-to-2-5-hours-will-eagerly-awaited-delhi-dehradun-expressway-finally-open-in-january-2026-article-13727627.html,Moneycontrol
"Watch: Female cop turns Rajasthan highway into dance floor, grooves to loud music","In the video, a Rajasthan Police constable is seen dancing along with a group of people on what appears to be a highway. A minibus is parked on the roadside, and loud Bollywood music is played through a large speaker, while several people dance near the vehicle.","December 16, 2025 11:43 AM IST",https://www.moneycontrol.com/city/watch-female-cop-turns-rajasthan-highway-into-dance-floor-grooves-to-loud-music-article-13727473.html,Moneycontrol
Bengaluru airport's new cab rules: 'Exhausting' 800-metre luggage trek leaves flyers fuming,"Bengaluru International Airport Ltd (BIAL) rolled out the revised traffic management system at Terminal 1 (T1) and Terminal 2 (T2) to address illegal parking, touting and congestion.","December 16, 2025 10:54 AM IST",https://www.moneycontrol.com/city/bengaluru-airport-s-new-cab-rules-exhausting-800-metre-luggage-trek-leaves-flyers-fuming-article-13727390.html,Moneycontrol
Mumbai Metro update: Line 9 & 2B to open by December 31 - know routes and more,"Mumbai Metro update: Metro Line 9, an extension of Line 7, spans 13.58 km and connects Dahisar East with the rapidly growing Mira-Bhayandar region. The first operational segment will run from Dahisar East to Kashigaon.","December 16, 2025 10:23 AM IST",https://www.moneycontrol.com/city/mumbai-metro-update-line-9-2b-to-open-by-december-31-know-routes-and-more-article-13727310.html,Moneycontrol
Why Delhi chokes every winter? Supreme Court flags affluent lifestyle as a major cause,"Expressing concern, the CJI-led bench said that the Supreme Court has passed numerous orders over the years, but the ground situation has shown little improvement.","December 16, 2025 10:22 AM IST",https://www.moneycontrol.com/city/why-delhi-chokes-every-winter-supreme-court-flags-affluent-lifestyle-as-a-major-cause-article-13727329.html,Moneycontrol
"Trapped in ‘digital arrest’, Bengaluru techie sells flat and plots to pay fake cops","Bengaluru-based software professional was forced to sell her flat and two residential plots to meet their demands. As per the report, she was working with a software company and living with her 10-year-old son in a flat in Vignan Nagar.","December 16, 2025 04:28 PM IST",https://www.moneycontrol.com/city/trapped-in-digital-arrest-bengaluru-techie-sells-flat-and-plots-to-pay-fake-cops-article-13728266.html,Moneycontrol
Mumbai to get ‘biggest central park in India’s history’ at Mahalaxmi Racecourse – all details,"The proposed project will create a 295-acre green zone that will combine open landscapes, cultural spaces and a large underground sports complex, while keeping the historic racing track and stables intact.","December 16, 2025 04:13 PM IST",https://www.moneycontrol.com/city/mumbai-to-get-biggest-central-park-in-india-s-history-at-mahalaxmi-racecourse-all-details-article-13728223.html,Moneycontrol
‘I installed GPS tracker’: Punjab man breaks down as he catches wife cheating for second time | Video,"The husband, Ravi Gulati, of Amritsar, Punjab, said back in 2018, he had had found his wife with someone at a hotel but forgave her for his children's sake.","December 16, 2025 03:51 PM IST",https://www.moneycontrol.com/city/i-installed-gps-tracker-punjab-man-breaks-down-as-he-catches-wife-cheating-for-second-time-video-article-13728117.html,Moneycontrol
"No valid PUC, no fuel from Thursday: Delhi tightens pollution curbs as air quality worsens",The move follows the Air Quality Index (AQI) staying in the “severe” category for three straight days before improving slightly to “very poor” on Tuesday.,"December 16, 2025 03:34 PM IST",https://www.moneycontrol.com/city/no-valid-puc-no-fuel-from-thursday-delhi-tightens-rules-as-air-quality-worsens-article-13728138.html,Moneycontrol
Bengaluru weather: City sees coldest December nights in a decade as chill grips Karnataka,"The harsh conditions are not confined to the capital. As reported by meteorological authorities, a severe cold wave has tightened its grip on several northern districts.   ","December 16, 2025 02:59 PM IST",https://www.moneycontrol.com/city/bengaluru-weather-city-sees-coldest-december-nights-in-a-decade-as-chill-grips-karnataka-article-13728015.html,Moneycontrol
Navi Mumbai airport expansion: CIDCO plans 3rd runway to meet future air traffic growth,,"December 16, 2025 02:54 PM IST",https://www.moneycontrol.com/city/navi-mumbai-airport-expansion-cidco-plans-3rd-runway-to-meet-future-air-traffic-growth-article-13728003.html,Moneycontrol
Colder nights return to Kashmir as mercury dips below freezing point,"Srinagar, the summer capital of Jammu and Kashmir, recorded a low of minus 1.8 degrees Celsius, nearly four degrees down from the Monday night's 1.9 degrees Celsius.","December 16, 2025 02:49 PM IST",https://www.moneycontrol.com/city/colder-nights-return-to-kashmir-as-mercury-dips-below-freezing-point-article-13727986.html,Moneycontrol
China ready to help India with 'step-by-step guide' to beat air pollution - 'Stay tuned for shared journey',"Although the challenge remains complex, China’s consistent policies over the past decade have led to clear improvements in air quality.","December 16, 2025 01:29 PM IST",https://www.moneycontrol.com/city/china-ready-to-help-india-with-step-by-step-guide-to-beat-air-pollution-stay-tuned-for-shared-journey-article-13727737.html,Moneycontrol
23-year-old woman found dead at Delhi home; suicide suspected,"The deceased, identified as Anjali Singh, was found motionless in her house in Delhi's Prem Nagar area on Monday by her sister and her neighbour.","December 16, 2025 12:35 PM IST",https://www.moneycontrol.com/city/23-year-old-woman-found-dead-at-delhi-home-suicide-suspected-article-13727651.html,Moneycontrol
Will eagerly-awaited Delhi-Dehradun Expressway finally open in January 2026?,"Delhi-Dehradun Expressway opening date: The project, estimated to cost Rs 11,868.6 crore, was initially scheduled for completion by December 2024.","December 16, 2025 12:35 PM IST",https://www.moneycontrol.com/city/from-6-5-hours-to-2-5-hours-will-eagerly-awaited-delhi-dehradun-expressway-finally-open-in-january-2026-article-13727627.html,Moneycontrol
"Watch: Female cop turns Rajasthan highway into dance floor, grooves to loud music","In the video, a Rajasthan Police constable is seen dancing along with a group of people on what appears to be a highway. A minibus is parked on the roadside, and loud Bollywood music is played through a large speaker, while several people dance near the vehicle.","December 16, 2025 11:43 AM IST",https://www.moneycontrol.com/city/watch-female-cop-turns-rajasthan-highway-into-dance-floor-grooves-to-loud-music-article-13727473.html,Moneycontrol
Bengaluru airport's new cab rules: 'Exhausting' 800-metre luggage trek leaves flyers fuming,"Bengaluru International Airport Ltd (BIAL) rolled out the revised traffic management system at Terminal 1 (T1) and Terminal 2 (T2) to address illegal parking, touting and congestion.","December 16, 2025 10:54 AM IST",https://www.moneycontrol.com/city/bengaluru-airport-s-new-cab-rules-exhausting-800-metre-luggage-trek-leaves-flyers-fuming-article-13727390.html,Moneycontrol
Mumbai Metro update: Line 9 & 2B to open by December 31 - know routes and more,"Mumbai Metro update: Metro Line 9, an extension of Line 7, spans 13.58 km and connects Dahisar East with the rapidly growing Mira-Bhayandar region. The first operational segment will run from Dahisar East to Kashigaon.","December 16, 2025 10:23 AM IST",https://www.moneycontrol.com/city/mumbai-metro-update-line-9-2b-to-open-by-december-31-know-routes-and-more-article-13727310.html,Moneycontrol
Why Delhi chokes every winter? Supreme Court flags affluent lifestyle as a major cause,"Expressing concern, the CJI-led bench said that the Supreme Court has passed numerous orders over the years, but the ground situation has shown little improvement.","December 16, 2025 10:22 AM IST",https://www.moneycontrol.com/city/why-delhi-chokes-every-winter-supreme-court-flags-affluent-lifestyle-as-a-major-cause-article-13727329.html,Moneycontrol
"Delhi blast probe: NIA finds Pakistan funding, role of unknown terror group under scanner","The latest arrest was made on December 9, when the agency detained Bilal Naseer Malla, a doctor from Baramulla in Kashmir, taking the total number of accused to eight.  ","December 16, 2025 10:13 AM IST",https://www.moneycontrol.com/city/delhi-blast-probe-nia-finds-pakistan-funding-role-of-unknown-terror-group-under-scanner-article-13727184.html,Moneycontrol
"Mumbai weather update: Minimum dips to 16.9 deg C, AQI moderate at 111","IMD has issued a dry weather alert for Mumbai, Thane and Palghar until Friday.","December 16, 2025 10:08 AM IST",https://www.moneycontrol.com/city/mumbai-weather-update-minimum-dips-to-16-9-deg-c-aqi-moderate-at-111-article-13727303.html,Moneycontrol
Passengers brace for delays as taxi drivers protest at Bengaluru airport today,"The agitation is expected to disrupt taxi services and traffic on key Bengaluru airport-bound routes, particularly near the Sadahalli toll gate.","December 16, 2025 09:52 AM IST",https://www.moneycontrol.com/city/passengers-brace-for-delays-as-taxi-drivers-protest-at-bengaluru-airport-today-article-13727237.html,Moneycontrol
Watch: Mohali kabaddi player Rana Balachauria gunned down at crowded tournament; gang claims murder as Sidhu Moose Wala revenge,"Rana Balachauria murder: Struck multiple times in the head and face, Balachauria collapsed on the ground. Disturbing footage from the event captures the moment gunshots ring out, sending players and spectators scrambling in panic.","December 16, 2025 09:03 AM IST",https://www.moneycontrol.com/city/watch-mohali-kabaddi-player-rana-balachauria-gunned-down-at-crowded-tournament-gang-claims-murder-as-sidhu-moose-wala-revenge-article-13727163.html,Moneycontrol
Delhi's air quality remains 'very poor' at 378; residents struggle with low visibility and breathlessness,"Delhi AQI: The air quality showed a marginal improvement compared to Monday, when the AQI had touched 427 at around 4 pm, falling in the 'severe' category.","December 16, 2025 08:59 AM IST",https://www.moneycontrol.com/city/delhi-s-air-quality-remains-very-poor-at-378-residents-struggle-with-low-visibility-and-breathlessness-article-13727139.html,Moneycontrol
Gujarat govt takes over Ahmedabad school management after student's murder; violations found,"The decision to take over the Seventh Day Adventist School, located in Ahmedabad's Khokhra area, was taken after authorities found that the institution had repeatedly breached statutory provisions under various education laws","December 16, 2025 08:47 AM IST",https://www.moneycontrol.com/city/gujarat-govt-takes-over-ahmedabad-school-management-after-student-s-murder-violations-found-article-13727108.html,Moneycontrol
Are Delhi schools open today? Online classes for upto class 5 amid GRAP 4 pollution alert,"In a notification issued on 15 December, the Directorate of Education (DoE) stated that physical classes for students from nursery to Class 5 in government, government-aided, and private recognised schools will remain suspended until further notice.","December 16, 2025 08:37 AM IST",https://www.moneycontrol.com/city/are-delhi-schools-open-today-online-classes-for-upto-class-5-amid-grap-4-pollution-alert-article-13727087.html,Moneycontrol
"UP cop tells girl not to venture out without guardian, video sparks moral policing row","The act triggered a moral policing row after a purported video of the incident surfaced on social media, even as local police took note of the episode.","December 16, 2025 08:27 AM IST",https://www.moneycontrol.com/city/up-cop-tells-girl-not-to-venture-out-without-guardian-video-sparks-moral-policing-row-article-13727051.html,Moneycontrol
"Punjab declares Amritsar, Anandpur Sahib and Talwandi Sabo as 'holy cities'","The decision aligns with earlier announcements made by Punjab Chief Minister Bhagwant Mann, who last month said that Sri Anandpur Sahib would be developed as a heritage street city.","December 16, 2025 08:14 AM IST",https://www.moneycontrol.com/city/punjab-declares-amritsar-anandpur-sahib-and-talwandi-sabo-as-holy-cities-article-13727023.html,Moneycontrol
"Delhi-Agra Expressway crash: 13 killed, 25 injured in massive pile-up; PM Modi announces ex-gratia",Mathura SSP said the accident took place at the Yamuna Expressway Milestone 127. The reason was low visibility due to fog.,"December 16, 2025 07:53 AM IST",https://www.moneycontrol.com/city/delhi-agra-expressway-fog-horror-4-dead-25-injured-as-10-vehicles-collide-and-catch-fire-article-13726968.html,Moneycontrol
"Delhi flight operations improve as fog eases, but disruptions continue","On Tuesday morning, Delhi Airport issued an update on social media, saying that flight operations were gradually returning to normal but some disruptions could still continue.","December 16, 2025 07:40 AM IST",https://www.moneycontrol.com/city/delhi-flight-operations-improve-as-fog-eases-but-disruptions-continue-article-13726938.html,Moneycontrol
"Goa nightclub fire: Luthra brothers to land in Delhi today, likely to be flown to Goa next","After a lookout circular was issued against them, the Ministry of External Affairs suspended their passports, leaving them without valid travel documents.","December 16, 2025 07:20 AM IST",https://www.moneycontrol.com/city/goa-nightclub-fire-luthra-brothers-to-land-in-delhi-today-likely-to-be-flown-to-goa-next-article-13726925.html,Moneycontrol
"Caught on cam: 2 speeding cars strike biker, child back-to-back in UP hit-and-run",Police are examining the CCTV footage to identify the vehicles and drivers involved.,"December 15, 2025 04:53 PM IST",https://www.moneycontrol.com/city/caught-on-cam-2-speeding-cars-strike-biker-child-back-to-back-in-up-hit-and-run-article-13725749.html,Moneycontrol
"Watch: 4 killed, several injured as season's first dense fog triggers 20-vehicle crash on Delhi-Mumbai Expressway","Emergency services were rushed to the spot soon after the incident. Police teams, ambulances, and rescue workers worked together to help the injured and clear the road.","December 15, 2025 02:53 PM IST",https://www.moneycontrol.com/city/watch-4-killed-several-injured-as-season-s-first-dense-fog-triggers-20-vehicle-crash-on-delhi-mumbai-expressway-article-13725727.html,Moneycontrol
"Pune: 5-year-old girl kidnapped, sexually assaulted and killed; 30-year-old accused arrested","The suspect was arrested early Sunday. During questioning, he confessed to strangling the girl and revealed where her body had been kept.","December 15, 2025 01:47 PM IST",https://www.moneycontrol.com/city/pune-5-year-old-girl-kidnapped-sexually-assaulted-and-killed-30-year-old-accused-arrested-article-13725725.html,Moneycontrol
"All Noida, Greater Noida schools shift to online and hybrid classes amid hazardous air","The directive, issued by the District Education Officer on December 14, applies to all institutions regardless of their affiliation. School principals have been instructed to ensure strict compliance.","December 15, 2025 01:37 PM IST",https://www.moneycontrol.com/city/all-noida-greater-noida-schools-shift-to-online-and-hybrid-classes-amid-hazardous-air-article-13725607.html,Moneycontrol
Goa nightclub fire: CBI in Thailand to bring back Luthra brothers as Indian embassy issues emergency travel documents,"The Luthra brothers, proprietors of the now-charred Birch by Romeo Lane in Arpora, were detained by Thai authorities last week after it was discovered they were staying in the country illegally.","December 15, 2025 12:42 PM IST",https://www.moneycontrol.com/city/goa-nightclub-fire-cbi-in-thailand-to-bring-back-luthra-brothers-as-indian-embassy-issues-emergency-travel-docs-article-13725541.html,Moneycontrol
Stark contrast: Lionel Messi in Delhi today as AQI remains 400+; Miami's AQI is ...,"The GOAT India Tour 2025 has taken Messi across four Indian cities - Kolkata, Hyderabad, Mumbai and New Delhi - from December 13 to 15, drawing massive crowds and widespread attention from fans across the country.","December 15, 2025 12:15 PM IST",https://www.moneycontrol.com/city/lionel-messi-s-goat-india-tour-2025-from-miami-breeze-to-delhi-s-400-aqi-article-13725425.html,Moneycontrol
Delhi Police on high alert ahead of Lionel Messi's visit,"Public movement is expected to pick up around 11 am. Commuters have been advised to avoid Bahadur Shah Zafar Marg, ITO, Delhi Gate, Netaji Subhash Marg and Brijmohan Chowk from 10 am till the event concludes.","December 15, 2025 11:22 AM IST",https://www.moneycontrol.com/city/delhi-police-on-high-alert-ahead-of-lionel-messi-s-delhi-visit-article-13725315.html,Moneycontrol
Who is R Sreelekha? From Kerala's first woman DGP to BJP's frontrunner for Thiruvananthapuram mayor,"One pivotal question dominates Kerala’s political discourse: will R Sreelekha, the state’s pioneering woman IPS officer, become the capital’s first BJP mayor?  ","December 15, 2025 10:31 AM IST",https://www.moneycontrol.com/city/who-is-r-sreelekha-from-kerala-s-first-woman-dgp-to-bjp-s-frontrunner-for-thiruvananthapuram-mayor-article-13725180.html,Moneycontrol
Bengaluru weather: City gripped by chilly nights and misty mornings; IMD forecasts prolonged cold spell,"While afternoons remain mild with a maximum of around 27.5 degrees, the contrast between day and night is becoming stark.  ","December 15, 2025 10:11 AM IST",https://www.moneycontrol.com/city/bengaluru-weather-city-gripped-by-chilly-nights-and-misty-mornings-imd-forecasts-prolonged-cold-spell-article-13725131.html,Moneycontrol
"Pune left shivering as minimum mercury stays below 10 deg C for 6 days, longest streak since 2015","Forecasts suggest Pune could experience these biting conditions until at least December 19. If this holds, the city may surpass modern records for the highest count of such cold days in a single winter.","December 15, 2025 10:07 AM IST",https://www.moneycontrol.com/city/pune-left-shivering-as-minimum-mercury-stays-below-10-deg-c-for-6-days-longest-streak-since-2015-article-13725123.html,Moneycontrol
"Badlapur Congress leader's death, believed natural for 3 years, exposed as snakebite murder","The truth came to light during the interrogation of history-sheeter Rishikesh Chalke, who was recently arrested in connection with a separate attempted murder case during the election period in Badlapur.","December 15, 2025 09:46 AM IST",https://www.moneycontrol.com/city/badlapur-congress-leader-s-death-believed-natural-for-3-years-exposed-as-snakebite-murder-article-13725084.html,Moneycontrol
"Delhi power subsidy bill set to cross Rs 4,000 crore as beneficiaries surge: Report","In the current financial year, the Delhi government earmarked Rs 3,849 crore for the subsidy-around Rs 250 crore more than the amount spent in 2024-25.","December 15, 2025 09:40 AM IST",https://www.moneycontrol.com/city/delhi-power-subsidy-bill-set-to-cross-rs-4-000-crore-as-beneficiaries-surge-report-article-13725086.html,Moneycontrol
"Delhi on high alert after Australia attack, security tightened at Jewish establishments","In South Delhi’s Vasant Vihar, the Chabad House restaurant, popular among local Jewish families, Israeli expats, and business travelers, has also seen increased security presence.","December 15, 2025 09:34 AM IST",https://www.moneycontrol.com/city/delhi-on-high-alert-after-australia-attack-security-tightened-at-jewish-establishments-article-13725063.html,Moneycontrol
"Kolkata’s Messi fiasco not first for Shatadru Dutta; Pelé, Maradona events too faced backlash over mismanagement","Dutta first came into the spotlight in 2012 when he organised a match between Brazil Masters and Indian Masters at Salt Lake Stadium. Just before the match began, a senior goalkeeper from Colombia allegedly refused to play after not receiving full payment.","December 15, 2025 08:57 AM IST",https://www.moneycontrol.com/city/kolkata-s-messi-fiasco-not-first-for-shatadru-dutta-pel-maradona-events-also-faced-mismanagement-article-13724978.html,Moneycontrol
Lionel Messi’s Delhi visit: Major traffic disruption expected today; check roads to avoid,"The Delhi Traffic Police has advised commuters to avoid several key arteries in the heart of the capital between noon and 5 pm. Authorities have warned that any vehicles parked illegally on Bahadurshah Zafar Marg, JLN Marg or Ring Road will be towed and the owners prosecuted.  ","December 15, 2025 08:46 AM IST",https://www.moneycontrol.com/city/lionel-messi-s-delhi-visit-major-traffic-disruption-expected-today-check-roads-to-avoid-article-13724938.html,Moneycontrol
"Delhi-NCR's air turns hazardous, Noida AQI soars past 550, emergency measures activated","Delhi's average Air Quality Index (AQI) hovered around 481, deep within the severe zone. The situation was markedly worse in neighbouring Noida, which recorded an alarming AQI of 557, a level deemed extremely hazardous.   ","December 15, 2025 08:14 AM IST",https://www.moneycontrol.com/city/delhi-ncr-s-air-turns-hazardous-noida-aqi-soars-past-550-emergency-measures-activated-article-13724867.html,Moneycontrol
Sabarimala gold theft case: Ramesh Chennithala says 30.5 kg gold replaced with copper,"Terming the episode a 'grave betrayal of faith', Chennithala said he had shared crucial information with the Special Investigation Team (SIT), gathered from a businessman based abroad.","December 15, 2025 07:40 AM IST",https://www.moneycontrol.com/city/sabarimala-gold-theft-case-ramesh-chennithala-says-30-5-kg-gold-replaced-with-copper-article-13724775.html,Moneycontrol
"Dense fog engulfs Delhi-NCR; IGI Airport issues travel advisory, 150 flights delayed","Delhi fog update (December 15): Early morning commuters faced difficulties on roads as visibility dropped sharply. In view of the weather conditions, the India Meteorological Department (IMD) issued a yellow alert for fog in Delhi and advised people to remain cautious.","December 15, 2025 07:20 AM IST",https://www.moneycontrol.com/city/dense-fog-engulfs-delhi-ncr-igi-airport-issues-travel-advisory-article-13724759.html,Moneycontrol
How safe is Delhi? Police flag security lapses across 175 sites post Red Fort blast,"During the inspections, police found several common shortcomings. At many parking areas, security staff were not wearing uniforms, did not carry identity cards and failed to use under-vehicle inspection mirrors.","December 15, 2025 07:11 AM IST",https://www.moneycontrol.com/city/how-safe-is-delhi-police-flag-security-lapses-across-175-sites-post-red-fort-blast-article-13724750.html,Moneycontrol
Delhi's air quality turns 'severe' as AQI reading soars to 497,"Bawana recorded the highest AQI of 497 at 7 am, placing it in the 'severe' category","December 14, 2025 08:57 AM IST",https://www.moneycontrol.com/news/india/delhi-s-air-quality-turns-severe-as-aqi-reading-soars-to-497-13724329.html,Moneycontrol
Smog blankets Delhi as several areas record ‘severe’ AQI; airport issues advisory,"Experts blamed the sharp decline in air quality on unfavourable weather conditions such as low wind speeds, high moisture levels and falling temperatures","December 13, 2025 07:52 AM IST",https://www.moneycontrol.com/city/thick-smog-engulfs-delhi-ncr-as-aqi-crosses-400-in-several-areas-article-13723804.html,Moneycontrol
J&K weather: Pulwama hits -5.5 degrees Celsius as Srinagar temperature dips to -3.6 degrees Celsius,"Srinagar, the summer capital, saw temperatures drop further to -3.6 degrees Celsius, a notable 2.4 degrees below the normal for this time of year.","December 12, 2025 04:00 PM IST",https://www.moneycontrol.com/city/j-k-weather-pulwama-hits-5-5-degrees-celsius-as-srinagar-temperature-dips-to-3-6-degrees-celsius-article-13723150.html,Moneycontrol
"Delhi's new signal-free corridor: How a drain expressway will cut your travel time to IGI Airport, Gurgaon","The centrepiece of the project is a major new transport corridor along the Najafgarh drain, aimed at revolutionising mobility in the city’s western and southwestern sectors.","December 12, 2025 03:00 PM IST",https://www.moneycontrol.com/city/delhi-s-new-signal-free-corridor-how-a-drain-expressway-will-cut-your-travel-time-to-igi-airport-gurgaon-article-13722944.html,Moneycontrol
Phone tapping case: Former Telangana intel chief surrenders before police as per SC directive,"Rao, former chief of the Telangana Special Intelligence Bureau (SIB) surrendered before the investigating officer at the Jubilee Hills police station here at 11 AM, as directed by the apex court.","December 12, 2025 02:38 PM IST",https://www.moneycontrol.com/city/phone-tapping-case-former-telangana-intel-chief-surrenders-before-police-as-per-sc-directive-article-13723191.html,Moneycontrol
"Who is Supriya Sahu, the Tamil Nadu IAS officer now a UN Champion of the Earth?","According to a profile shared by the UN and detailed by Live Mint, Sahu’s connection to the environment was forged in childhood through extensive travels across India. This early bond evolved over a 30-year civil service career into a profound commitment to biodiversity.","December 12, 2025 02:28 PM IST",https://www.moneycontrol.com/city/who-is-supriya-sahu-the-tamil-nadu-ias-officer-now-a-un-champion-of-the-earth-article-13723174.html,Moneycontrol
"Multiple Amritsar schools receive bomb threats, students evacuated",Panic-stricken parents rushed to schools to pick up their children while the district administration ordered the closure of all schools across Amritsar.,"December 12, 2025 02:13 PM IST",https://www.moneycontrol.com/city/multiple-amritsar-schools-receive-bomb-threats-students-evacuated-article-13723129.html,Moneycontrol
